Designator,Mid X,Mid Y,Layer,Rotation
D2,10.65,-164.22,T,270.00
D3,12.40,-74.22,T,270.00
D3,12.40,-164.22,T,270.00
D4,14.15,-164.22,T,270.00
D4,14.15,-74.22,T,270.00
D5,15.90,-164.22,T,270.00
D5,15.90,-74.22,T,270.00
D6,17.65,-164.22,T,270.00
D6,17.65,-74.22,T,270.00
D7,19.40,-164.22,T,270.00
D7,19.40,-74.22,T,270.00
D8,21.15,-74.22,T,270.00
D8,21.15,-164.22,T,270.00
D9,22.90,-74.22,T,270.00
D9,22.90,-164.22,T,270.00
D10,24.65,-164.22,T,270.00
D10,24.65,-74.22,T,270.00
D11,26.40,-164.22,T,270.00
D11,26.40,-74.22,T,270.00
D12,28.15,-74.22,T,270.00
D12,28.15,-164.22,T,270.00
D13,29.90,-164.22,T,270.00
D13,29.90,-74.22,T,270.00
D14,31.65,-164.22,T,270.00
D14,31.65,-74.22,T,270.00
D15,33.40,-74.22,T,270.00
D15,33.40,-164.22,T,270.00
D16,35.15,-164.22,T,270.00
D16,35.15,-74.22,T,270.00
D17,36.90,-74.22,T,270.00
D17,36.90,-164.22,T,270.00
D18,38.65,-74.22,T,270.00
D18,38.65,-164.22,T,270.00
D19,40.40,-164.22,T,270.00
D19,40.40,-74.22,T,270.00
D20,42.15,-74.22,T,270.00
D20,42.15,-164.22,T,270.00
D21,43.90,-74.22,T,270.00
D21,43.90,-164.22,T,270.00
D22,45.65,-74.22,T,270.00
D22,45.65,-164.22,T,270.00
D23,47.40,-74.22,T,270.00
D23,47.40,-164.22,T,270.00
D24,49.15,-164.22,T,270.00
D24,49.15,-74.22,T,270.00
D25,50.90,-164.22,T,270.00
D25,50.90,-74.22,T,270.00
D26,52.65,-164.22,T,270.00
D26,52.65,-74.22,T,270.00
D27,54.40,-164.22,T,270.00
D27,54.40,-74.22,T,270.00
D28,56.15,-74.22,T,270.00
D28,56.15,-164.22,T,270.00
D29,57.90,-74.22,T,270.00
D29,57.90,-164.22,T,270.00
D30,59.65,-74.22,T,270.00
D30,59.65,-164.22,T,270.00
D31,61.40,-164.22,T,270.00
D31,61.40,-74.22,T,270.00
D32,63.15,-164.22,T,270.00
D32,63.15,-74.22,T,270.00
D33,8.90,-162.47,T,270.00
D33,8.90,-72.47,T,270.00
D34,10.65,-72.47,T,270.00
D34,10.65,-162.47,T,270.00
D35,12.40,-72.47,T,270.00
D35,12.40,-162.47,T,270.00
D36,14.15,-162.47,T,270.00
D36,14.15,-72.47,T,270.00
D37,15.90,-72.47,T,270.00
D37,15.90,-162.47,T,270.00
D38,17.65,-162.47,T,270.00
D38,17.65,-72.47,T,270.00
D39,19.40,-162.47,T,270.00
D39,19.40,-72.47,T,270.00
D40,21.15,-72.47,T,270.00
D40,21.15,-162.47,T,270.00
D41,22.90,-72.47,T,270.00
D41,22.90,-162.47,T,270.00
D42,24.65,-162.47,T,270.00
D42,24.65,-72.47,T,270.00
D43,26.40,-162.47,T,270.00
D43,26.40,-72.47,T,270.00
D44,28.15,-72.47,T,270.00
D44,28.15,-162.47,T,270.00
D45,29.90,-162.47,T,270.00
D45,29.90,-72.47,T,270.00
D46,31.65,-162.47,T,270.00
D46,31.65,-72.47,T,270.00
D47,33.40,-72.47,T,270.00
D47,33.40,-162.47,T,270.00
D48,35.15,-72.47,T,270.00
D48,35.15,-162.47,T,270.00
D49,36.90,-72.47,T,270.00
D49,36.90,-162.47,T,270.00
D50,38.65,-72.47,T,270.00
D50,38.65,-162.47,T,270.00
D51,40.40,-162.47,T,270.00
D51,40.40,-72.47,T,270.00
D52,42.15,-72.47,T,270.00
D52,42.15,-162.47,T,270.00
D53,43.90,-162.47,T,270.00
D53,43.90,-72.47,T,270.00
D54,45.65,-162.47,T,270.00
D54,45.65,-72.47,T,270.00
D55,47.40,-162.47,T,270.00
D55,47.40,-72.47,T,270.00
D56,49.15,-162.47,T,270.00
D56,49.15,-72.47,T,270.00
D57,50.90,-162.47,T,270.00
D57,50.90,-72.47,T,270.00
D58,52.65,-72.47,T,270.00
D58,52.65,-162.47,T,270.00
D59,54.40,-162.47,T,270.00
D59,54.40,-72.47,T,270.00
D60,56.15,-72.47,T,270.00
D60,56.15,-162.47,T,270.00
D61,57.90,-72.47,T,270.00
D61,57.90,-162.47,T,270.00
D62,59.65,-72.47,T,270.00
D62,59.65,-162.47,T,270.00
D63,61.40,-72.47,T,270.00
D63,61.40,-162.47,T,270.00
D64,63.15,-162.47,T,270.00
D64,63.15,-72.47,T,270.00
D65,8.90,-160.72,T,270.00
D65,8.90,-70.72,T,270.00
D66,10.65,-160.72,T,270.00
D66,10.65,-70.72,T,270.00
D67,12.40,-160.72,T,270.00
D67,12.40,-70.72,T,270.00
D68,14.15,-70.72,T,270.00
D68,14.15,-160.72,T,270.00
D69,15.90,-160.72,T,270.00
D69,15.90,-70.72,T,270.00
D70,17.65,-70.72,T,270.00
D70,17.65,-160.72,T,270.00
D71,19.40,-70.72,T,270.00
D71,19.40,-160.72,T,270.00
D72,21.15,-160.72,T,270.00
D72,21.15,-70.72,T,270.00
D73,22.90,-70.72,T,270.00
D73,22.90,-160.72,T,270.00
D74,24.65,-160.72,T,270.00
D74,24.65,-70.72,T,270.00
D75,26.40,-70.72,T,270.00
D75,26.40,-160.72,T,270.00
D76,28.15,-160.72,T,270.00
D76,28.15,-70.72,T,270.00
D77,29.90,-160.72,T,270.00
D77,29.90,-70.72,T,270.00
D78,31.65,-70.72,T,270.00
D78,31.65,-160.72,T,270.00
D79,33.40,-70.72,T,270.00
D79,33.40,-160.72,T,270.00
D80,35.15,-70.72,T,270.00
D80,35.15,-160.72,T,270.00
D81,36.90,-70.72,T,270.00
D81,36.90,-160.72,T,270.00
D82,38.65,-160.72,T,270.00
D82,38.65,-70.72,T,270.00
D83,40.40,-160.72,T,270.00
D83,40.40,-70.72,T,270.00
D84,42.15,-70.72,T,270.00
D84,42.15,-160.72,T,270.00
D85,43.90,-160.72,T,270.00
D85,43.90,-70.72,T,270.00
D86,45.65,-160.72,T,270.00
D86,45.65,-70.72,T,270.00
D87,47.40,-160.72,T,270.00
D87,47.40,-70.72,T,270.00
D88,49.15,-160.72,T,270.00
D88,49.15,-70.72,T,270.00
D89,50.90,-70.72,T,270.00
D89,50.90,-160.72,T,270.00
D90,52.65,-160.72,T,270.00
D90,52.65,-70.72,T,270.00
D91,54.40,-160.72,T,270.00
D91,54.40,-70.72,T,270.00
D92,56.15,-160.72,T,270.00
D92,56.15,-70.72,T,270.00
D93,57.90,-160.72,T,270.00
D93,57.90,-70.72,T,270.00
D94,59.65,-70.72,T,270.00
D94,59.65,-160.72,T,270.00
D95,61.40,-160.72,T,270.00
D95,61.40,-70.72,T,270.00
D96,63.15,-70.72,T,270.00
D96,63.15,-160.72,T,270.00
D97,8.90,-158.97,T,270.00
D97,8.90,-68.97,T,270.00
D98,10.65,-68.97,T,270.00
D98,10.65,-158.97,T,270.00
D99,12.40,-68.97,T,270.00
D99,12.40,-158.97,T,270.00
D100,14.15,-158.97,T,270.00
D100,14.15,-68.97,T,270.00
D101,15.90,-158.97,T,270.00
D101,15.90,-68.97,T,270.00
D102,17.65,-68.97,T,270.00
D102,17.65,-158.97,T,270.00
D103,19.40,-68.97,T,270.00
D103,19.40,-158.97,T,270.00
D104,21.15,-158.97,T,270.00
D104,21.15,-68.97,T,270.00
D105,22.90,-158.97,T,270.00
D105,22.90,-68.97,T,270.00
D106,24.65,-158.97,T,270.00
D106,24.65,-68.97,T,270.00
D107,26.40,-158.97,T,270.00
D107,26.40,-68.97,T,270.00
D108,28.15,-158.97,T,270.00
D108,28.15,-68.97,T,270.00
D109,29.90,-158.97,T,270.00
D109,29.90,-68.97,T,270.00
D110,31.65,-68.97,T,270.00
D110,31.65,-158.97,T,270.00
D111,33.40,-158.97,T,270.00
D111,33.40,-68.97,T,270.00
D112,35.15,-158.97,T,270.00
D112,35.15,-68.97,T,270.00
D113,36.90,-68.97,T,270.00
D113,36.90,-158.97,T,270.00
D114,38.65,-68.97,T,270.00
D114,38.65,-158.97,T,270.00
D115,40.40,-158.97,T,270.00
D115,40.40,-68.97,T,270.00
D116,42.15,-158.97,T,270.00
D116,42.15,-68.97,T,270.00
D117,43.90,-68.97,T,270.00
D117,43.90,-158.97,T,270.00
D118,45.65,-158.97,T,270.00
D118,45.65,-68.97,T,270.00
D119,47.40,-158.97,T,270.00
D119,47.40,-68.97,T,270.00
D120,49.15,-158.97,T,270.00
D120,49.15,-68.97,T,270.00
D121,50.90,-68.97,T,270.00
D121,50.90,-158.97,T,270.00
D122,52.65,-158.97,T,270.00
D122,52.65,-68.97,T,270.00
D123,54.40,-68.97,T,270.00
D123,54.40,-158.97,T,270.00
D124,56.15,-158.97,T,270.00
D124,56.15,-68.97,T,270.00
D125,57.90,-68.97,T,270.00
D125,57.90,-158.97,T,270.00
D126,59.65,-158.97,T,270.00
D126,59.65,-68.97,T,270.00
D127,61.40,-158.97,T,270.00
D127,61.40,-68.97,T,270.00
D128,63.15,-158.97,T,270.00
D128,63.15,-68.97,T,270.00
D129,8.90,-157.22,T,270.00
D129,8.90,-67.22,T,270.00
D130,10.65,-157.22,T,270.00
D130,10.65,-67.22,T,270.00
D131,12.40,-157.22,T,270.00
D131,12.40,-67.22,T,270.00
D132,14.15,-67.22,T,270.00
D132,14.15,-157.22,T,270.00
D133,15.90,-67.22,T,270.00
D133,15.90,-157.22,T,270.00
D134,17.65,-157.22,T,270.00
D134,17.65,-67.22,T,270.00
D135,19.40,-157.22,T,270.00
D135,19.40,-67.22,T,270.00
D136,21.15,-67.22,T,270.00
D136,21.15,-157.22,T,270.00
D137,22.90,-157.22,T,270.00
D137,22.90,-67.22,T,270.00
D138,24.65,-67.22,T,270.00
D138,24.65,-157.22,T,270.00
D139,26.40,-67.22,T,270.00
D139,26.40,-157.22,T,270.00
D140,28.15,-67.22,T,270.00
D140,28.15,-157.22,T,270.00
D141,29.90,-157.22,T,270.00
D141,29.90,-67.22,T,270.00
D142,31.65,-157.22,T,270.00
D142,31.65,-67.22,T,270.00
D143,33.40,-157.22,T,270.00
D143,33.40,-67.22,T,270.00
D144,35.15,-67.22,T,270.00
D144,35.15,-157.22,T,270.00
D145,36.90,-67.22,T,270.00
D145,36.90,-157.22,T,270.00
D146,38.65,-67.22,T,270.00
D146,38.65,-157.22,T,270.00
D147,40.40,-67.22,T,270.00
D147,40.40,-157.22,T,270.00
D148,42.15,-67.22,T,270.00
D148,42.15,-157.22,T,270.00
D149,43.90,-157.22,T,270.00
D149,43.90,-67.22,T,270.00
D150,45.65,-67.22,T,270.00
D150,45.65,-157.22,T,270.00
D151,47.40,-67.22,T,270.00
D151,47.40,-157.22,T,270.00
D152,49.15,-67.22,T,270.00
D152,49.15,-157.22,T,270.00
D153,50.90,-67.22,T,270.00
D153,50.90,-157.22,T,270.00
D154,52.65,-67.22,T,270.00
D154,52.65,-157.22,T,270.00
D155,54.40,-67.22,T,270.00
D155,54.40,-157.22,T,270.00
D156,56.15,-67.22,T,270.00
D156,56.15,-157.22,T,270.00
D157,57.90,-157.22,T,270.00
D157,57.90,-67.22,T,270.00
D158,59.65,-67.22,T,270.00
D158,59.65,-157.22,T,270.00
D159,61.40,-157.22,T,270.00
D159,61.40,-67.22,T,270.00
D160,63.15,-67.22,T,270.00
D160,63.15,-157.22,T,270.00
D161,8.90,-65.47,T,270.00
D161,8.90,-155.47,T,270.00
D162,10.65,-155.47,T,270.00
D162,10.65,-65.47,T,270.00
D163,12.40,-65.47,T,270.00
D163,12.40,-155.47,T,270.00
D164,14.15,-155.47,T,270.00
D164,14.15,-65.47,T,270.00
D165,15.90,-65.47,T,270.00
D165,15.90,-155.47,T,270.00
D166,17.65,-155.47,T,270.00
D166,17.65,-65.47,T,270.00
D167,19.40,-155.47,T,270.00
D167,19.40,-65.47,T,270.00
D168,21.15,-155.47,T,270.00
D168,21.15,-65.47,T,270.00
D169,22.90,-155.47,T,270.00
D169,22.90,-65.47,T,270.00
D170,24.65,-155.47,T,270.00
D170,24.65,-65.47,T,270.00
D171,26.40,-65.47,T,270.00
D171,26.40,-155.47,T,270.00
D172,28.15,-65.47,T,270.00
D172,28.15,-155.47,T,270.00
D173,29.90,-155.47,T,270.00
D173,29.90,-65.47,T,270.00
D174,31.65,-65.47,T,270.00
D174,31.65,-155.47,T,270.00
D175,33.40,-155.47,T,270.00
D175,33.40,-65.47,T,270.00
D176,35.15,-65.47,T,270.00
D176,35.15,-155.47,T,270.00
D177,36.90,-155.47,T,270.00
D177,36.90,-65.47,T,270.00
D178,38.65,-155.47,T,270.00
D178,38.65,-65.47,T,270.00
D179,40.40,-155.47,T,270.00
D179,40.40,-65.47,T,270.00
D180,42.15,-65.47,T,270.00
D180,42.15,-155.47,T,270.00
D181,43.90,-155.47,T,270.00
D181,43.90,-65.47,T,270.00
D182,45.65,-155.47,T,270.00
D182,45.65,-65.47,T,270.00
D183,47.40,-65.47,T,270.00
D183,47.40,-155.47,T,270.00
D184,49.15,-155.47,T,270.00
D184,49.15,-65.47,T,270.00
D185,50.90,-155.47,T,270.00
D185,50.90,-65.47,T,270.00
D186,52.65,-65.47,T,270.00
D186,52.65,-155.47,T,270.00
D187,54.40,-65.47,T,270.00
D187,54.40,-155.47,T,270.00
D188,56.15,-65.47,T,270.00
D188,56.15,-155.47,T,270.00
D189,57.90,-65.47,T,270.00
D189,57.90,-155.47,T,270.00
D190,59.65,-155.47,T,270.00
D190,59.65,-65.47,T,270.00
D191,61.40,-65.47,T,270.00
D191,61.40,-155.47,T,270.00
D192,63.15,-65.47,T,270.00
D192,63.15,-155.47,T,270.00
D193,8.90,-153.72,T,270.00
D193,8.90,-63.73,T,270.00
D194,10.65,-63.73,T,270.00
D194,10.65,-153.72,T,270.00
D195,12.40,-63.73,T,270.00
